id,nome,porte
1,Akita,medio
2,Basset hound,medio
3,Beagle,pequeno
4,Bichon frisé,pequeno
5,Boiadeiro australiano,medio
6,Border collie,pequeno
7,Boston terrier,pequeno
8,Boxer,medio
9,Buldogue francês,pequeno
10,Buldogue inglês,pequeno
11,Bull terrier,pequeno
12,Cane corso,grande
13,Cavalier king charles spaniel,pequeno
14,Chihuahua,pequeno
15,Chow chow,pequeno
16,Cocker spaniel inglês,pequeno
17,Dachshund,pequeno
18,Dálmata,grande
19,Doberman,grande
20,Dogo argentino,grande
21,Dogue alemão,grande
22,Fila brasileiro,medio
23,Golden retriever,medio
24,Husky siberiano,grande
25,Jack russell terrier,pequeno
26,Labrador retriever,medio
27,Lhasa apso,pequeno
28,Lulu da pomerânia,pequeno
29,Maltês,pequeno
30,Mastiff inglês,grande
31,Mastim tibetano,grande
32,Pastor alemão,grande
33,Pastor australiano,medio
34,Pastor de Shetland,medio
35,Pequinês,pequeno
36,Pinscher,pequeno
37,Poodle,pequeno
38,Pug,pequeno
39,Rottweiler,grande
40,Schnauzer,grande
41,Shar-pei,grande
42,Shiba,medio
43,Shih tzu,pequeno
44,Staffordshire bull terrier,medio
45,Weimaraner,grande
46,Yorkshire,pequeno
47,vira lata,medio
